opor_co_no,opor_no,opor_pwd,co_no,pd_no,exch_group_no,asset_acco_no_str
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430002,43430002,43430002;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430003,43430003,43430003;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430004,43430004,43430004;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430005,43430005,43430005;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430006,43430006,43430006;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430007,43430007,43430007;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430008,43430008,43430008;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430009,43430009,43430009;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430010,43430010,43430010;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430011,43430011,43430011;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430012,43430012,43430012;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430013,43430013,43430013;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430014,43430014,43430014;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430015,43430015,43430015;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430016,43430016,43430016;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430017,43430017,43430017;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430018,43430018,43430018;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430019,43430019,43430019;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430020,43430020,43430020;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430021,43430021,43430021;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430022,43430022,43430022;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430023,43430023,43430023;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430024,43430024,43430024;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430025,43430025,43430025;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430026,43430026,43430026;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430027,43430027,43430027;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430028,43430028,43430028;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430029,43430029,43430029;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430030,43430030,43430030;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430031,43430031,43430031;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430032,43430032,43430032;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430033,43430033,43430033;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430034,43430034,43430034;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430035,43430035,43430035;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430036,43430036,43430036;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430037,43430037,43430037;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430038,43430038,43430038;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430039,43430039,43430039;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430040,43430040,43430040;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430041,43430041,43430041;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430042,43430042,43430042;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430043,43430043,43430043;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430044,43430044,43430044;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430045,43430045,43430045;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430046,43430046,43430046;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430047,43430047,43430047;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430048,43430048,43430048;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430049,43430049,43430049;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430050,43430050,43430050;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430051,43430051,43430051;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430052,43430052,43430052;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430053,43430053,43430053;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430054,43430054,43430054;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430055,43430055,43430055;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430056,43430056,43430056;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430057,43430057,43430057;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430058,43430058,43430058;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430059,43430059,43430059;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430060,43430060,43430060;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430061,43430061,43430061;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430062,43430062,43430062;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430063,43430063,43430063;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430064,43430064,43430064;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430065,43430065,43430065;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430066,43430066,43430066;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430067,43430067,43430067;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430068,43430068,43430068;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430069,43430069,43430069;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430070,43430070,43430070;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430071,43430071,43430071;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430072,43430072,43430072;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430073,43430073,43430073;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430074,43430074,43430074;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430075,43430075,43430075;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430076,43430076,43430076;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430077,43430077,43430077;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430078,43430078,43430078;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430079,43430079,43430079;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430080,43430080,43430080;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430081,43430081,43430081;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430082,43430082,43430082;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430083,43430083,43430083;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430084,43430084,43430084;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430085,43430085,43430085;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430086,43430086,43430086;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430087,43430087,43430087;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430088,43430088,43430088;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430089,43430089,43430089;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430090,43430090,43430090;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430091,43430091,43430091;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430092,43430092,43430092;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430093,43430093,43430093;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430094,43430094,43430094;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430095,43430095,43430095;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430096,43430096,43430096;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430097,43430097,43430097;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430098,43430098,43430098;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430099,43430099,43430099;
4343,43430001,MzU5NWZkMjliMzllYjdhMThjYTBhZTkyOWJkNDkwODU=,4343,43430100,43430100,43430100;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440001,44440001,44440001;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440002,44440002,44440002;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440003,44440003,44440003;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440004,44440004,44440004;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440005,44440005,44440005;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440006,44440006,44440006;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440007,44440007,44440007;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440008,44440008,44440008;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440009,44440009,44440009;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440010,44440010,44440010;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440011,44440011,44440011;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440012,44440012,44440012;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440013,44440013,44440013;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440014,44440014,44440014;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440015,44440015,44440015;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440016,44440016,44440016;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440017,44440017,44440017;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440018,44440018,44440018;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440019,44440019,44440019;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440020,44440020,44440020;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440021,44440021,44440021;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440022,44440022,44440022;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440023,44440023,44440023;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440024,44440024,44440024;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440025,44440025,44440025;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440026,44440026,44440026;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440027,44440027,44440027;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440028,44440028,44440028;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440029,44440029,44440029;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440030,44440030,44440030;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440031,44440031,44440031;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440032,44440032,44440032;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440033,44440033,44440033;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440034,44440034,44440034;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440035,44440035,44440035;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440036,44440036,44440036;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440037,44440037,44440037;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440038,44440038,44440038;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440039,44440039,44440039;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440040,44440040,44440040;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440041,44440041,44440041;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440042,44440042,44440042;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440043,44440043,44440043;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440044,44440044,44440044;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440045,44440045,44440045;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440046,44440046,44440046;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440047,44440047,44440047;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440048,44440048,44440048;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440049,44440049,44440049;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440050,44440050,44440050;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440051,44440051,44440051;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440052,44440052,44440052;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440053,44440053,44440053;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440054,44440054,44440054;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440055,44440055,44440055;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440056,44440056,44440056;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440057,44440057,44440057;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440058,44440058,44440058;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440059,44440059,44440059;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440060,44440060,44440060;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440061,44440061,44440061;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440062,44440062,44440062;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440063,44440063,44440063;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440064,44440064,44440064;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440065,44440065,44440065;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440066,44440066,44440066;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440067,44440067,44440067;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440068,44440068,44440068;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440069,44440069,44440069;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440070,44440070,44440070;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440071,44440071,44440071;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440072,44440072,44440072;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440073,44440073,44440073;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440074,44440074,44440074;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440075,44440075,44440075;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440076,44440076,44440076;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440077,44440077,44440077;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440078,44440078,44440078;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440079,44440079,44440079;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440080,44440080,44440080;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440081,44440081,44440081;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440082,44440082,44440082;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440083,44440083,44440083;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440084,44440084,44440084;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440085,44440085,44440085;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440086,44440086,44440086;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440087,44440087,44440087;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440088,44440088,44440088;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440089,44440089,44440089;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440090,44440090,44440090;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440091,44440091,44440091;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440092,44440092,44440092;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440093,44440093,44440093;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440094,44440094,44440094;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440095,44440095,44440095;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440096,44440096,44440096;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440097,44440097,44440097;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440098,44440098,44440098;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440099,44440099,44440099;
4444,44440001,ZDQyMmRmZDEyZjgzZWNiMTAxOWQ0OGViY2VhMzBhMmU=,4444,44440100,44440100,44440100;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450001,45450001,45450001;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450002,45450002,45450002;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450003,45450003,45450003;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450004,45450004,45450004;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450005,45450005,45450005;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450006,45450006,45450006;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450007,45450007,45450007;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450008,45450008,45450008;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450009,45450009,45450009;
4545,45450001,MDk1MmRkYTY0NjhkMGIyNDQ5MjUxNzhlNDM0NWZlNmI=,4545,45450010,45450010,45450010;
